# Nyra comparison — runtime + memory benchmark
# Generated: 2026-07-01T14:14:09Z
# Runs per command: 5 (warmup 1 discarded); micro=9 concurrency=11
# Time: median wall clock in milliseconds (lower is better)
# Nyra parity: Zero/Explicit measured interleaved per suite (same OS/thermal window)
# Parity summary excludes startup-dominated suites (hello, arithmetic) — see HTML report
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude (single-file suites), prelude (multi-file/struct_sum), -march=native
# Isolation: Nyra variants per suite (interleaved pairs); other langs isolated (BENCH_LANG_COOLDOWN=2s)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time) so OS startup noise does not skew the comparison.

The hot-path parity table (HTML) excludes hello/arithmetic where process spawn
dominates and LLVM output is identical — see full matrix for all suites.

| Suite        | Language               | Time (ms) | Memory     |
                            8.52 MB     8.52 MB                                                                        
   (HashSet insert/contains)

   collections_vec_push      6.27 †      5.88 †           —           —           —           —      5.69 *      10.20 
                            3.03 MB     3.03 MB                                                     7.98 MB     3.14 MB
   (Vec push growth)

   collections_vec_pop       7.39 †      6.75 *           —           —           —           —           —           —
                            3.03 MB     3.03 MB                                                                        
   (Vec push then pop all)

   collections_sort          4.48 †      4.22 *           —           —           —           —           —           —
                            1.28 MB     1.28 MB                                                                        
   (shell-sort pass + sum)

   algorithms_qsort          4.23 †      3.73 *           —           —           —           —           —           —
                            1.03 MB     1.03 MB                                                                        
   (partition-style mod sum)

   algorithms_mergesort      4.22 †      3.88 *           —           —           —           —           —           —
                            1.03 MB     1.03 MB                                                                        
   (merge-style mod sum)

   algorithms_binary_search      3.55 *      3.63 †           —           —           —           —           —           —
                            1.03 MB     1.03 MB                                                                        
   (binary search probes)

   algorithms_json_parse     15.80 †     15.74 †           —           —           —           —      5.56 *           —
                            1.05 MB     1.05 MB                                                     3.59 MB            
   (json_get_i32 hot loop)

   algorithms_regex         18.47 †     18.43 *           —           —           —           —           —           —
                            1.11 MB     1.11 MB                                                                        
   (regex_is_match)

   concurrency_spawn_tasks     33.98 †     33.86 †           —           —           —           —      4.37 *           —
                            1.45 MB     1.45 MB                                                     3.61 MB            
   (spawn N lightweight tasks)

   concurrency_channel_pingpong    132.72 †    139.46 †           —           —           —           —      18.91      11.09 *
                            1.36 MB     1.36 MB                                                     3.58 MB     5.31 MB
   (spawn producer + channel recv)

   concurrency_worker_pool 10,746.22 * 10,840.97 †           —           —           —           —           —           —
                            3.17 MB     3.17 MB                                                                        
   (4-worker channel pool)

   concurrency_parallel_map      3.97 *      3.99 †           —           —           —           —           —           —
                            1.12 MB     1.12 MB                                                                        
   (parallel for + checksum)

   cpu_bound_pgo           808.41 †    808.15 *           —           —           —           —           —           —
                            1.06 MB     1.06 MB                                                                        

   escape_local_channel      7.00 *           —           —           —           —           —           —           —
                            1.03 MB                                                                                    

   escape_point_sroa         5.56 *           —           —           —           —           —           —           —
                            1.38 MB                                                                                    

   escape_spawn_channel    127.84 *           —           —           —           —           —           —           —
                            1.28 MB                                                                                    

   * = fastest time in row   † = lowest memory in row

========================================================================
LANGUAGE LEADERBOARD — average across all benchmarks
========================================================================

   #    Language                   Avg time      Avg RAM    Hello bin  Time wins   Mem wins
   --------------------------------------------------------------------------------------
   1    Nyra (Comptime + Types)       1.79 ms      1.03 MB            —    1/1       1/1   
   2    Nyra (Comptime)              1.80 ms      1.03 MB            —    0/1       1/1   
   3    Go                         321.16 ms      4.42 MB      2.26 MB    4/21      1/21  
   4    C                          416.61 ms      1.03 MB      32.6 KB    7/15     13/15  
